"","sciname","SpecCode","IUCN_Code","Resilience","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","LongevityWild","Vulnerability","Length","CommonLength","Weight","Importance","PriceCateg","PriceReliability","Aquarium","AquariumFishII","Comments"
"70","Centrolabrus trutta",22498,"LC","High",NA,"reef-associated",5,15,NA,27.47,18,10,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults are found in the littoral area, near rocks and seagrass beds (Ref. 4742).  Oviparous, distinct pairing during breeding (Ref. 205).  Males build dish shaped nests and guard the eggs (Ref. 205)."
"71","Cetoscarus bicolor",5538,"LC","Medium","fusiform / normal","reef-associated",1,30,NA,58.21,90,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in clear lagoon and seaward reefs (Ref. 1602).  Juveniles usually solitary; adults form harems (Ref. 9710); males are territorial.  Goes to several changes during growth and very large females change sex to the brightly colored male.  Small juveniles usually in dense coral and algae habitats (Ref. 48636).  Benthic grazer of algae (Ref. 3488).  Caught with nets and other types of artisanal gear."
"72","Cetoscarus ocellatus",66097,"LC","Medium","fusiform / normal","reef-associated",1,30,NA,52.89,80,NA,NA,NA,NA,NA,"never/rarely",NA,"Inhabits seaward reefs and lagoons at depths of 1-30 m, in groups of females with one male (Ref. 90102). Feeds on benthic algae (Ref. 89972)."
"73","Cheilinus abudjubbe",60813,"LC","Medium",NA,"demersal",NA,10,NA,36.69,21.8,22,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Oviparous, distinct pairing during breeding (Ref. 205)."
"74","Cheilinus chlorourus",5598,"LC","Medium","fusiform / normal","reef-associated",1,30,NA,43.8,45,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit lagoon and coastal reefs, in areas with mixed sand, rubble, and coral (Ref. 9710).  Occasionally in grassy areas.  Feed mainly on benthic  invertebrates such as mollusks and crustaceans.  Oviparous, distinct pairing during breeding (Ref. 205)."
"75","Cheilinus fasciatus",5600,"LC","Medium","fusiform / normal","reef-associated",4,60,NA,52.24,40,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit lagoon and seaward reefs, usually in areas with mixed coral, sand, and rubble (Ref. 9710).  Feed mainly on benthic, hard-shelled invertebrates, including mollusks, crustaceans and sea urchins (Ref. 5374).  Young common on silty reefs, usually along edges with algae-rubble and sand (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205)."
"76","Cheilinus lunulatus",12780,"LC","Low",NA,"reef-associated",2,30,NA,49.59,50,35,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit coral reefs and adjacent rubble, sand and seagrass habitats (typically along the edges of coral rich fringing reef slopes, Ref. 9710).  Feed mainly on hard-shelled invertebrates, especially mollusks (Ref. 5374).  Oviparous, distinct pairing during breeding (Ref. 205)."
"77","Cheilinus oxycephalus",5602,"LC","High","fusiform / normal","reef-associated",1,40,NA,26.31,17,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Found in coral-rich areas of lagoon and seaward reefs at depths of 1 to over 40 m (Ref. 1602, 48636, 58534).  A secretive  species (Ref. 8631, 48636), rarely ventures more than a few centimeters from shelter (Ref. 1602).  A shy species, usually found in pairs when adult (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205)."
"78","Cheilinus trilobatus",5603,"LC","Medium","short and / or deep","reef-associated",1,30,NA,42.75,45,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit lagoon and seaward reefs at depths of 1 to over 30 m, and relatively common along shallow reef margins with good coral cover (Ref. 9710).  Usually solitary (Ref. 5213).  Feed mainly on shelled benthic invertebrates such as mollusks and crustaceans, but occasionally take fishes (Ref. 1602).  Oviparous, distinct pairing during breeding (Ref. 205).  Difficult to approach (Ref. 9710).  Juveniles secretive on algae reefs and usually around stinging hydrozoans (Ref. 48636)."
"79","Cheilinus undulatus",5604,"EN","Low","fusiform / normal","reef-associated",1,100,32,73.88,229,60,191000,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabit steep outer reef slopes, channel slopes, and lagoon reefs (Ref. 1602).  Benthopelagic at 2-60 m (Ref. 58302).  Usually solitary but may occur in pairs.  Juveniles are encountered in coral-rich areas of lagoon reefs, where staghorn <i>Acropora</i> corals abound (Ref. 1602); also in algae reefs or seagrasses (Ref. 48636, 41878).  Adults rove across the reefs by day and rest in reef caves and under coral ledges at night (Ref. 31343).  Primary food are mollusks, fishes, sea urchins, crustaceans, and other invertebrates.  One of the few predators of toxic animals such as sea hares, boxfishes and crown-of-thorns starfish (Ref. 1602).  Oviparous, distinct pairing during breeding (Ref. 205).  Found in Hong Kong live fish markets (Ref. 27253)."
"80","Cheilio inermis",5623,"LC","Low","elongated","reef-associated",1,30,NA,59.51,50,35,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabit seagrass beds and algal-covered flats, occasionally in lagoon and seaward reefs to a depth of at least 30 m (Ref. 1602, 41878, 48636).  Benthopelagic (Ref. 58302).  Usually solitary.  Juveniles secretive in seagrasses or attached <i>Sargassum</i>; adults usually in small loose aggregations, but occasionally form large schools to spawn (Ref. 48636).  Feed mainly on crustaceans, mollusks, sea urchins (Ref. 37816) and other hard-shelled prey.  Oviparous, distinct pairing during breeding (Ref. 205)."
"81","Chlorurus atrilunula",7907,"LC","High",NA,"reef-associated",1,15,NA,24.06,30,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in silty protected reefs, over sand and rubble (Ref. 9710).  Feeds on benthic algae.  Also caught with nets and other artisanal gear.  Mainly sold fresh."
"82","Chlorurus bleekeri",4976,"LC","Medium","short and / or deep","reef-associated",3,35,NA,32.3,49,NA,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in clear coastal and inner reefs (Ref. 48636); in lagoons and channel reefs (Ref. 2334).  Feed mainly on algae (Ref. 26993).  Females usually in small groups and maybe mixed with other species when feeding; males solitary nearby (Ref. 48636)."
"83","Chlorurus bowersi",5542,"NT","High","elongated","reef-associated",2,20,NA,28.56,40,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Inhabits channel and lagoon reef slopes, in coral-rich areas (Ref. 9710).  Occurs singly (Ref. 9710)."
"84","Chlorurus capistratoides",25677,"LC","High","fusiform / normal","reef-associated",5,15,NA,28.56,40,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in clear coastal and inner reefs.  Shallow coral and algae habitat.  Usually mixes with other species when feeding (Ref. 48636).  Females form small groups (Ref. 90102)."
"85","Chlorurus cyanescens",7909,"LC","Medium",NA,"reef-associated",5,NA,NA,32.71,50,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found around deep rocky reefs up to a depth of at least 30 m (Ref. 9710).  Solitary or in small groups (Ref. 9710).  Also caught with nets and other kinds of artisanal gear.  Mainly sold fresh."
"86","Chlorurus enneacanthus",7910,"LC","Medium","fusiform / normal","reef-associated",1,7,NA,32.71,50,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found on shallow fringing reefs.  Usually in areas with dead coral and rubble (Ref. 9710).  Forms small groups (Ref. 90102).  Feeds on benthic algae.  Also caught with nets and other kinds of artisanal gear.  Mainly sold fresh."
"87","Chlorurus frontalis",5547,"LC","Medium","elongated","reef-associated",10,40,NA,32.71,50,38,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Often seen in small schools on exposed reef flats and seaward reefs (Ref. 1602).  Minimum depth reported from Ref. 90102. Feeds on benthic algae (Ref. 89972)."
"88","Chlorurus genazonatus",14382,"LC","High",NA,"reef-associated",6,NA,NA,24.65,31,NA,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits reef slopes (Ref. 9710).  Feeds on benthic algae (Ref. 30573)."
"89","Chlorurus gibbus",4979,"LC","Low",NA,"reef-associated",NA,NA,14,37.72,70,NA,4000,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Usually in groups on the outer reef (Ref. 30573).  Caught with nets, and other types of artisanal gears."
"90","Chlorurus japanensis",4978,"LC","High","fusiform / normal","reef-associated",1,20,NA,24.65,31,NA,700,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits seaward coral (Ref. 58652) and rocky reefs (Ref. 9710); inner reefs with rich coral habitat (Ref. 48636).  Feeds on benthic algae (Ref. 3488).  Caught mainly with traps, nets and other types of artisanal gear.  Minimum depth reported from Ref. 90102."
"91","Chlorurus microrhinos",60479,"LC","Low","fusiform / normal","reef-associated",1,50,NA,36.88,70,49,5400,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in lagoon and seaward reefs.  Juveniles generally solitary; large adults often school together. Feeds on benthic algae (Ref. 89972)."
"92","Chlorurus oedema",8394,"LC","High","short and / or deep","reef-associated",1,50,NA,29.61,42,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Inhabits coastal rocky and coral reefs (Ref. 9710).  Feeds on algae from hard substratum (Ref. 9710).  Forms small groups (Ref. 90102)."
"93","Chlorurus perspicillatus",7829,"LC","Medium","fusiform / normal","reef-associated",1,71,NA,46.72,60.9,NA,7000,NA,"high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits clear lagoon and seaward reefs, from the intertidal to at least 45 m (Ref. 9710).  Benthopelagic (Ref. 58302).  Protogynous (Ref. 55080)."
"94","Chlorurus rhakoura",47069,"LC","Medium",NA,"reef-associated",1,30,NA,40.55,44.2,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits inshore rocky reefs and often in small schools (Ref. 26241)."
"95","Chlorurus sordidus",5556,"LC","Medium","fusiform / normal","reef-associated",0,50,NA,18.82,40,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","One of the most widespread parrotfishes, but highly variable and some geographical forms that are probably subspecific (Ref. 48636).  Inhabit both coral rich (Ref. 58652) and open pavement areas of shallow reef flats and lagoon and seaward reefs (Ref. 5213), as well as drop-offs, behaving differently in various areas (Ref. 48636).  Benthopelagic (Ref. 58302).  Juveniles found in coral rubble areas of reef flats and lagoons (Ref. 9710).  Juveniles and individuals in the initial phase form large groups that migrate great distances between feeding and sleeping grounds (Ref. 9710).  Feed on benthic algae (Ref. 30573).  Minimum depth range reported taken from Ref. 30874.  Protogynous (Ref. 55080).  Minimum depth from Ref. 58018."
"96","Chlorurus spilurus",66478,"LC","High",NA,"reef-associated",NA,NA,NA,21.48,NA,NA,NA,NA,NA,NA,"never/rarely",NA,NA
"97","Chlorurus strongylocephalus",12833,"LC","Medium",NA,"reef-associated",2,35,NA,37.72,70,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits lagoon and seaward reefs (Ref. 9710).  Juveniles usually solitary; adults may form schools (Ref. 9710). Females smaller (Ref. 90102).  Feeds on algae, and inhabits on reef edge (Ref. 6113)."
"98","Chlorurus troschelii",4977,"LC","High",NA,"reef-associated",5,25,NA,25.84,34.6,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits clear shallow seaward reefs, in areas with high coral cover (Ref. 9710)."
